County of Residence,County of Residence Code,Mother's Single Race 6,Mother's Single Race 6 Code,Age of Mother 9,Age of Mother 9 Code,Mother's Education,Mother's Education Code,Mother's Nativity,Mother's Nativity Code,Births,Average Number of Prenatal Visits
"Adams County, PA",42001,White,2106-3,15-19 years,15-19,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,10,11.7
"Adams County, PA",42001,White,2106-3,20-24 years,20-24,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,16,10.5
"Adams County, PA",42001,White,2106-3,20-24 years,20-24,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,64,12.11
"Adams County, PA",42001,White,2106-3,20-24 years,20-24,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,36,11.77
"Adams County, PA",42001,White,2106-3,20-24 years,20-24,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,12,11.5
"Adams County, PA",42001,White,2106-3,25-29 years,25-29,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,16,9.81
"Adams County, PA",42001,White,2106-3,25-29 years,25-29,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,86,11.38
"Adams County, PA",42001,White,2106-3,25-29 years,25-29,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,60,11.7
"Adams County, PA",42001,White,2106-3,25-29 years,25-29,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,45,12.78
"Adams County, PA",42001,White,2106-3,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,75,13.32
"Adams County, PA",42001,White,2106-3,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,26,12.92
"Adams County, PA",42001,White,2106-3,30-34 years,30-34,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,55,11.13
"Adams County, PA",42001,White,2106-3,30-34 years,30-34,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,33,11.33
"Adams County, PA",42001,White,2106-3,30-34 years,30-34,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,36,13.22
"Adams County, PA",42001,White,2106-3,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,72,12.11
"Adams County, PA",42001,White,2106-3,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,35,12.54
"Adams County, PA",42001,White,2106-3,35-39 years,35-39,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,16,14.06
"Adams County, PA",42001,White,2106-3,35-39 years,35-39,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,21,12.05
"Adams County, PA",42001,White,2106-3,35-39 years,35-39,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,14,11.21
"Adams County, PA",42001,White,2106-3,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,26,11.56
"Adams County, PA",42001,White,2106-3,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,20,13
"Allegheny County, PA",42003,Asian,A,25-29 years,25-29,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,34,9.78
"Allegheny County, PA",42003,Asian,A,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,55,11.44
"Allegheny County, PA",42003,Asian,A,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born outside the U.S. (includes possessions),2,39,12.81
"Allegheny County, PA",42003,Asian,A,30-34 years,30-34,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,31,12.16
"Allegheny County, PA",42003,Asian,A,30-34 years,30-34,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,11,11.36
"Allegheny County, PA",42003,Asian,A,30-34 years,30-34,"Associate degree (AA, AS)",5,Born outside the U.S. (includes possessions),2,12,11.75
"Allegheny County, PA",42003,Asian,A,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,11,16
"Allegheny County, PA",42003,Asian,A,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,115,11.8
